country_id,year,err_float,is_switch_year,provisional,note
PHL,2020,0,1,0,managed Mar-2020 -> float Jun-2021 (COVID)
PHL,2021,1,1,0,managed Mar-2020 -> float Jun-2021 (COVID)
PHL,2022,1,0,0,
PHL,2023,1,0,0,
PHL,2024,1,0,1,
PHL,2025,1,0,1,
POL,2019,1,0,0,
POL,2020,1,0,0,
POL,2021,1,0,0,
POL,2022,1,0,0,
POL,2023,1,0,0,
POL,2024,1,0,1,
POL,2025,1,0,1,
PRT,2019,1,0,0,
PRT,2020,1,0,0,
PRT,2021,1,0,0,
PRT,2022,1,0,0,
PRT,2023,1,0,0,
PRT,2024,1,0,1,
PRT,2025,1,0,1,
QAT,2019,0,0,0,
QAT,2020,0,0,0,
QAT,2021,0,0,0,
QAT,2022,0,0,0,
QAT,2023,0,0,0,
QAT,2024,0,0,1,
QAT,2025,0,0,1,
ROU,2019,0,0,0,
ROU,2020,0,0,0,
ROU,2021,0,0,0,
ROU,2022,0,0,0,
ROU,2023,0,0,0,
ROU,2024,0,0,1,
ROU,2025,0,0,1,
RUS,2019,1,0,0,
RUS,2020,1,0,0,
RUS,2021,1,0,0,
RUS,2022,1,0,0,
RUS,2023,1,0,0,
RUS,2024,1,0,1,
RUS,2025,1,0,1,
SAU,2019,0,0,0,
SAU,2020,0,0,0,
SAU,2021,0,0,0,
SAU,2022,0,0,0,
SAU,2023,0,0,0,
SAU,2024,0,0,1,
SAU,2025,0,0,1,
SGP,2019,0,0,0,
SGP,2020,0,0,0,
SGP,2021,0,0,0,
SGP,2022,0,0,0,
SGP,2023,0,0,0,
SGP,2024,0,0,1,
SGP,2025,0,0,1,
SVK,2019,1,0,0,
SVK,2020,1,0,0,
SVK,2021,1,0,0,
SVK,2022,1,0,0,
SVK,2023,1,0,0,
SVK,2024,1,0,1,
SVK,2025,1,0,1,
SVN,2019,1,0,0,
SVN,2020,1,0,0,
SVN,2021,1,0,0,
SVN,2022,1,0,0,
SVN,2023,1,0,0,
SVN,2024,1,0,1,
SVN,2025,1,0,1,
SWE,2019,1,0,0,
SWE,2020,1,0,0,
SWE,2021,1,0,0,
SWE,2022,1,0,0,
SWE,2023,1,0,0,
SWE,2024,1,0,1,
SWE,2025,1,0,1,
THA,2019,1,0,0,
THA,2020,1,0,0,
THA,2021,1,0,0,
THA,2022,1,0,0,
THA,2023,1,0,0,
THA,2024,1,0,1,
THA,2025,1,0,1,
TUN,2019,0,0,0,
TUN,2020,0,0,0,
TUN,2021,0,0,0,
TUN,2022,0,0,0,
TUN,2023,0,0,0,
TUN,2024,0,0,1,
TUN,2025,0,0,1,
TUR,2019,1,0,0,
TUR,2020,1,0,0,
TUR,2021,1,0,0,
TUR,2022,0,1,0,-> Crawl-like 28 Jul 2022 (lira crisis)
TUR,2023,0,0,0,
TUR,2024,0,0,1,
TUR,2025,0,0,1,
TZA,2019,0,0,0,
TZA,2020,0,0,0,
TZA,2021,0,0,0,
TZA,2022,0,0,0,
